INFO - 2023-03-22 11:59:16,070 - Trying to get normal usage... (1 minute)
INFO - 2023-03-22 12:00:16,226 - Normal CPU Usage: 2.99 %
INFO - 2023-03-22 12:00:16,227 - Normal RAM Usage: 75.27 %

INFO - 2023-03-22 12:00:21,244 - Current CPU Usage: 1.80 %
INFO - 2023-03-22 12:00:21,245 - Current RAM Usage: 76.20 %
INFO - 2023-03-22 12:00:26,269 - Current CPU Usage: 1.30 %
INFO - 2023-03-22 12:00:26,270 - Current RAM Usage: 76.20 %
INFO - 2023-03-22 12:00:31,283 - Current CPU Usage: 2.10 %
INFO - 2023-03-22 12:00:31,284 - Current RAM Usage: 75.90 %
INFO - 2023-03-22 12:00:36,293 - Current CPU Usage: 2.70 %
INFO - 2023-03-22 12:00:36,293 - Current RAM Usage: 75.90 %
INFO - 2023-03-22 12:00:41,312 - Current CPU Usage: 3.50 %
INFO - 2023-03-22 12:00:41,323 - Current RAM Usage: 75.90 %
